index,state,url,entries
0,Andhra Pradesh,exploreBuiltState.do?state=28,2417
1,Bihar,exploreBuiltState.do?state=10,20
2,Chhatisgarh,exploreBuiltState.do?state=22,60
3,Delhi,exploreBuiltState.do?state=07,807
4,Gujarat,exploreBuiltState.do?state=24,46
5,Himachal Pradesh,exploreBuiltState.do?state=02,280
6,Jammu and Kashmir,exploreBuiltState.do?state=01,292
7,Karnataka,exploreBuiltState.do?state=29,312
8,Kerala,exploreBuiltState.do?state=32,174
9,Madhya Pradesh,exploreBuiltState.do?state=23,749
10,Maharashtra,exploreBuiltState.do?state=27,32
11,Orissa,exploreBuiltState.do?state=21,2015
12,Punjab,exploreBuiltState.do?state=03,7
13,Rajasthan,exploreBuiltState.do?state=08,2160
14,Tamil Nadu,exploreBuiltState.do?state=33,922
15,Tripura,exploreBuiltState.do?state=16,4
16,Uttar Pradesh,exploreBuiltState.do?state=09,228
17,West Bengal,exploreBuiltState.do?state=19,135
